Year,year,Punjab,punjab_acres,Sindh,sindh_acres,KPK,kpk_acres,Balochistan,baluchistan_acres,PAKISTAN,total_acres,hectares
1947-48,1948,2217,2217000,833,833000,6,6000,0,0,3056,3056000,1236720.416
1948-49,1949,1836,1836000,756,756000,6,6000,0,0,2598,2598000,1051374.228
1949-50,1950,1867,1867000,872,872000,5,5000,0,0,2744,2744000,1110458.384
1950-51,1951,2110,2110000,899,899000,7,7000,0,0,3016,3016000,1220532.976
1951-52,1952,2370,2370000,932,932000,15,15000,1,1000,3318,3318000,1342748.148
1952-53,1953,2370,2370000,1037,1037000,12,12000,3,3000,3422,3422000,1384835.492
1953-54,1954,1911,1911000,948,948000,11,11000,0,0,2870,2870000,1161448.82
1954-55,1955,2182,2182000,944,944000,10,10000,0,0,3136,3136000,1269095.296
1955-56,1956,2419,2419000,1047,1047000,10,10000,1,1000,3477,3477000,1407093.222
1956-57,1957,2428,2428000,1115,1115000,10,10000,2,2000,3555,3555000,1438658.73
1957-58,1958,2488,2488000,1093,1093000,9,9000,0,0,3590,3590000,1452822.74
1958-59,1959,2241,2241000,1023,1023000,9,9000,0,0,3273,3273000,1324537.278
1959-60,1960,2298,2298000,1007,1007000,13,13000,0,0,3318,3318000,1342748.148
1960-61,1961,2171,2171000,1015.9,1015900,7.5,7500,0.2,200,3194.6,3194600,1292809.896
1961-62,1962,2401.6,2401600,1039.5,1039500,7.9,7900,0,0,3449,3449000,1395762.014
1962-63,1963,2404.6,2404600,982.2,982200,8.6,8600,0,0,3395.4,3395400,1374070.844
1963-64,1964,2622.7,2622700,1004.2,1004200,7,7000,0,0,3633.9,3633900,1470588.455
1964-65,1965,2785.9,2785900,831.4,831400,7.1,7100,0,0,3624.4,3624400,1466743.938
1965-66,1966,2869.9,2869900,981.8,981800,6.5,6500,0,0,3858.2,3858200,1561359.525
1966-67,1967,2964.5,2964500,1032.5,1032500,6.3,6300,0,0,4003.3,4003300,1620079.464
1967-68,1968,3291.5,3291500,1111.9,1111900,7.8,7800,0.1,100,4411.3,4411300,1785191.352
1968-69,1969,3232,3232000,1076,1076000,5,5000,0,0,4313,4313000,1745410.718
1969-70,1970,3322,3322000,1010.3,1010300,5.9,5900,0.1,100,4338.3,4338300,1755649.274
1970-71,1971,3232.94,3232940,1045.03,1045030,4.94,4940,0.25,250,4283.16,4283160,1733334.888
1971-72,1972,3697.01,3697010,1134.73,1134730,4.7,4700,0.99,990,4837.43,4837430,1957640.197
1972-73,1973,3901.13,3901130,1059.61,1059610,5.93,5930,0.25,250,4966.91,4966910,2010038.94
1973-74,1974,3382.94,3382940,1167.59,1167590,6.67,6670,1.48,1480,4558.69,4558690,1844838.021
1974-75,1975,3821.8,3821800,1189.09,1189090,7.41,7410,0.49,490,5018.8,5018800,2031038.097
1975-76,1976,3420,3420000,1148.57,1148570,6.42,6420,0.49,490,4575.49,4575490,1851636.746
1976-77,1977,3287.06,3287060,1312.9,1312900,6.92,6920,0.99,990,4607.86,4607860,1864736.432
1977-78,1978,3223.06,3223060,1325.25,1325250,6.18,6180,0.25,250,4554.73,4554730,1843235.465
1978-79,1979,3429.89,3429890,1237.53,1237530,5.68,5680,0.25,250,4673.34,4673340,1891235.271
1979-80,1980,3659.95,3659950,1476.48,1476480,5.44,5440,0.49,490,5142.36,5142360,2081041.099
1980-81,1981,3721.97,3721970,1480.19,1480190,5.68,5680,2.47,2470,5210.31,5210310,2108539.513
1981-82,1982,3887.29,3887290,1576.31,1576310,6.92,6920,0.74,740,5471.26,5471260,2214142.324
1982-83,1983,3985.14,3985140,1598.8,1598800,6.67,6670,1.24,1240,5591.85,5591850,2262943.409
1983-84,1984,3861.09,3861090,1619.81,1619810,6.18,6180,0.49,490,5487.57,5487570,2220742.753
1984-85,1985,3873.94,3873940,1658.36,1658360,5.93,5930,0.99,990,5539.22,5539220,2241644.785
1985-86,1986,4314.05,4314050,1520.71,1520710,5.68,5680,1.48,1480,5841.93,5841930,2364147.284
1986-87,1987,4606.13,4606130,1577.3,1577300,5.44,5440,1.73,1730,6190.6,6190600,2505249.152
1987-88,1988,4783.06,4783060,1555.8,1555800,5.19,5190,1.24,1240,6345.29,6345290,2567850.029
1988-89,1989,5075.15,5075150,1393.7,1393700,3.46,3460,0.49,490,6472.8,6472800,2619451.541
1989-90,1990,5030.91,5030910,1387.03,1387030,2.72,2720,0.49,490,6421.15,6421150,2598549.509
1990-91,1991,5250.1,5250100,1325.99,1325990,1.98,1980,0.49,490,6578.56,6578560,2662251.132
1991-92,1992,5651.16,5651160,1353.17,1353170,1.98,1980,0.49,490,7006.8,7006800,2835553.865
1992-93,1993,6024.05,6024050,982.02,982020,1.24,1240,0.49,490,7007.79,7007790,2835954.504
1993-94,1994,5558,5558000,1371.21,1371210,0.49,490,0.74,740,6930.45,6930450,2804656.089
1994-95,1995,5546.14,5546140,1002.28,1002280,0.74,740,6.18,6180,6555.33,6555330,2652850.276
1995-96,1996,6087.06,6087060,1307.95,1307950,0.49,490,11.12,11120,7406.63,7406630,2997359.468
1996-97,1997,6277.09,6277090,1485.63,1485630,0.74,740,17.05,17050,7780.51,7780510,3148663.47
1997-98,1998,5803.13,5803130,1483.4,1483400,1.24,1240,25.95,25950,7313.71,7313710,2959756.045
1998-99,1999,5641.03,5641030,1557.29,1557290,0.99,990,23.23,23230,7222.53,7222530,2922856.776
1999-00,2000,5755.93,5755930,1565.44,1565440,0.74,740,49.42,49420,7371.54,7371540,2983159.036
2000-01,2001,5897.03,5897030,1293.87,1293870,0.49,490,42.75,42750,7234.15,7234150,2927559.227
2001-02,2002,6242.99,6242990,1352.68,1352680,3.95,3950,99.83,99830,7234.15,7234150,2927559.227
2002-03,2003,5456.93,5456930,1340.82,1340820,4.7,4700,100.82,100820,6903.26,6903260,2793652.676
2003-04,2004,5898.02,5898020,1387.28,1387280,4.94,4940,96.62,96620,7386.86,7386860,2989358.826
2004-05,2005,6222.97,6222970,1569.4,1569400,5.19,5190,91.68,91680,7889.23,7889230,3192660.932
2005-06,2006,5994.89,5994890,1574.34,1574340,5.19,5190,93.41,93410,7667.82,7667820,3103059.405
2006-07,2007,6086.07,6086070,1408.77,1408770,0.49,490,102.8,102800,7598.39,7598390,3074962.056
2007-08,2008,5991.92,5991920,1500.95,1500950,0.49,490,54.12,54120,7545.5,7545500,3053558.213
2008-09,2009,5494.99,5494990,1387.52,1387520,0.49,490,85.5,85500,6968.5,6968500,2820054.391
2009-10,2010,6019.11,6019110,1568.41,1568410,0.1,100,86.74,86740,7674.35,7674350,3105702.004
2010-11,2011,5437.9,5437900,1129.29,1129290,0.49,490,77.35,77350,6645.04,6645040,2689154.657
2011-12,2012,6261.03,6261030,640.51,640510,0.49,490,102.3,102300,7004.33,7004330,2834554.29
2012-13,2013,5705.03,5705030,1309.93,1309930,0.49,490,98.35,98350,7113.8,7113800,2878855.267
2013-14,2014,5433.95,5433950,1403.58,1403580,0.74,740,94.89,94890,6933.17,6933170,2805756.835
2014-15,2015,5740.37,5740370,1473.27,1473270,2.47,2470,101.81,101810,7317.92,7317920,2961459.773
2015-16,2016,5541.94,5541940,1535.05,1535050,0.99,990,92.91,92910,7170.89,7170890,2901958.791
2016-17,2017,4485.79,4485790,1573.1,1573100,0.49,490,90.94,90940,6150.32,6150320,2488948.4
2017-18,2018,5072.92,5072920,1511.57,1511570,0.49,490,87.72,87720,6672.71,6672710,2700352.319
2018-19,2019,4664.94,4664940,1107.55,1107550,0.49,490,90.94,90940,5863.92,5863920,2373046.329
2019-20,2020,4644.93,4644930,1479.45,1479450,0.49,490,93.9,93900,6218.77,6218770,2516649.156
