Period,Year,,Acres,,Bales,,,,
1947-48,1948,3056,3056000,1106,1106000,142,75,1169076,135.716623
1948-49,1949,2598,2598000,964,964000,145,10,642117,139.1454965
1949-50,1950,2744,2744000,1239,1239000,177,145,1076121,169.3239796
1950-51,1951,3016,3016000,1406,1406000,183,150,1306042,174.8176393
1951-52,1952,3318,3318000,1397,1397000,165,180,1214682,157.8887884
1952-53,1953,3420,3420000,1784,1784000,204,230,1600656,195.6140351
1953-54,1954,2870,2870000,1425,1425000,195,496,1010569,186.1933798
1954-55,1955,3136,3136000,1583,1583000,198,650,870534,189.2936862
1955-56,1956,3477,3477000,1678,1678000,189,800,903862,180.9749784
1956-57,1957,3555,3555000,1711,1711000,189,845,669551,180.4852321
1957-58,1958,3590,3590000,1708,1708000,187,1111,576132,178.4122563
1958-59,1959,3273,3273000,1587,1587000,190,1101,585862,181.8285976
1959-60,1960,3318,3318000,1639,1639000,194,1342,566415,185.2396022
1960-61,1961,3195,3195000,1692,1692000,208,1402,246879,198.5915493
1961-62,1962,3449,3449000,1823,1823000,207,1405,397700,198.209626
1962-63,1963,3395,3395000,2060,2060000,238,1292,845200,227.5405007
1963-64,1964,3634,3634000,2354,2354000,254,1486,869605,242.9141442
1964-65,1965,3624,3624000,2124,2124000,230,1586,564055,219.7847682
1965-66,1966,3858,3858000,2331,2331000,237,1755,579649,226.5746501
1966-67,1967,4003,4003000,2605,2605000,255,1800,713399,244.0357232
1967-68,1968,4411,4411000,2911,2911000,259,1900,1081706,247.4778962
1968-69,1969,4313,4313000,2967,2967000,270,2163,710366,257.9700904
1969-70,1970,4338,4338000,3012,3012000,272,2584,495690,260.373444
1970-71,1971,4283,4283000,3050,3050000,279,2419,598906,267.0441279
1971-72,1972,4837,4837000,3979,3979000,323,2397,1460108,308.4814968
1972-73,1973,4967,4967000,3947,3947000,312,2727,1015396,297.9917455
1973-74,1974,4559,4559000,3704,3704000,319,2799,318550,304.6720772
1974-75,1975,5019,5019000,3567,3567000,279,2427,1358985,266.5122534
1975-76,1976,4575,4575000,2889,2889000,248,2468,359931,236.8032787
1976-77,1977,4608,4608000,2446,2446000,208,2108,75659,199.0559896
1977-78,1978,4554,4554000,3233,3233000,278,2094,613618,266.2220026
1978-79,1979,4672,4672000,2662,2662000,223,2280,303870,213.666524
1979-80,1980,5142,5142000,4282,4282000,312,2354,1520320,312.2812135
1980-81,1981,5209,5209000,4201,4201000,302,2397,1944989,302.4332885
1981-82,1982,5471,5471000,4400,4400000,302,2703,1398000,301.5902029
1982-83,1983,5591,5591000,4844,4844000,325,2816,1506130,324.8971561
1983-84,1984,5488,5488000,2908,2908000,199,2692,566030,198.7062682
1984-85,1985,5540,5540000,5930,5930000,401,2702,1515630,401.398917
1985-86,1986,5841,5841000,7154,7154000,459,2976,3812145,459.2963534
1986-87,1987,6190,6190000,7760,7760000,470,3935,3860981,470.1130856
1987-88,1988,6345,6345000,8633,8633000,510,4282,3292000,510.2245863
1988-89,1989,6473,6473000,8385,8385000,485,4914,4465125,485.7678047
1989-90,1990,6421,6421000,8560,8560000,500,6385,1802812,499.9221305
1990-91,1991,6578,6578000,9628,9628000,549,7547,1441669,548.875038
1991-92,1992,7007,7007000,12822,12822000,686,7461,2547422,686.2066505
1992-93,1993,7008,7008000,9054,9054000,484,7801,1498407,484.4820205
1993-94,1994,6930,6930000,8041,8041000,435,7834,324965,435.1190476
1994-95,1995,6555,6555000,8697,8697000,498,8164,215310,497.5400458
1995-96,1996,7406,7406000,10575,10575000,536,8975,1824676,535.4611126
1996-97,1997,7780,7780000,9374,9374000,452,8544,208180,451.8316195
1997-98,1998,7313,7313000,9184,9184000,471,8616,442000,470.9421578
1998-99,1999,7222,7222000,8790,8790000,457,8518,9000,456.4178898
1999-2000,2000,7371,7371000,11240,11240000,572,9443,580000,571.8355718
2000-2001,2001,7234,7234000,10732,10732000,557,9882,710000,556.3312137
2001-2002,2002,7700,7700000,10612,10612000,517,10529,268000,516.8181818
2002-2003,2003,6903,6903000,10200,10200000,550,11452,323000,554.10691
2003-2004,2004,7387,7387000,10048,10048000,510,12633,218082,510.085285
2004-2005,2005,7890,7890000,14265,14265000,578,14255,516187,677.9942966
2005-2006,2006,7667,7667000,13019,13019000,637,13000,341000,636.7712273
2006-2007,2007,7598,7598000,12856,12856000,634,14085,263000,634.5090813
2007-2008,2008,7549,7549000,11655,11655000,679,14830,243000,578.9674129
2008-2009,2009,6969,6969000,11819,11819000,712,15378,384000,635.9771847
2009-2010,2010,7614,7614000,12914,12914000,636,14128,908000,636.0323089
2010-2011,2011,6645,6645000,11460,11460000,646,14331,661000,646.7268623
2011-2012,2012,7071,7071000,13595,13595000,727,14178,1486000,720.9906661
2012-2013,2013,7114,7114000,13031,13031000,686,14209,480000,686.9025864
2013-2014,2014,6933,6933000,12769,12769000,691,15719,538138,690.6642146
2014-2015,2015,7310,7310000,13960,13960000,715,16089,553376,716.1422709
2015-2016,2016,7170,7170000,9971,9971000,518,16016,290088,521.4958159
2016-2017,2017,6150,6150000,10671,10727182,650,16092,149776,654.0964634
2017-2018,2018,6672,6672000,11945,11581934,671,16091,207424,650.9630171
2018-2019,2019,5864,5864000,10778,10777818,630,16112,69353,689.2363148
2019-2020,2020,,,,8571261,,14700,56000,
,2021,,,,5645967,,,,
,2022,,,,7384040,,,,
