month,imports_21_22,imports_21_22B,exports_21_22M,exports_21_22B,balance_21_22M,balance_21_22B,imports_20_21M,imports_20_21B,exports_20_21M,exports_20_21B,balance_20_21M,balance_20_21B,i_yoy%,e_yoy%,balance
Jul,5575,5.57,2340,2.34,-3235,-3.24,3674,3.67,2001,2,-1673,-1.67,52,17,-35
Aug,6577,6.58,2247,2.25,-4330,-4.32,3316,3.32,1584,1.58,-1732,-1.73,98,42,-56
Sep,6563,6.56,2409,2.41,-4154,-4.15,4297,4.3,1887,1.89,-2410,-2.41,53,28,-25
Oct,6369,6.37,2464,2.46,-3905,-3.9,3890,3.89,2101,2.1,-1789,-1.79,64,17,-46
Nov,7899,7.9,2902,2.9,-4997,-5,4291,4.29,2171,2.17,-2120,-2.12,84,34,-50
Dec,7666,7.66,2765,2.77,-4901,-4.8,4986,4.99,2366,2.37,-2620,-2.62,54,17,-37
Jan,6041,5.908,2614,2.546,-3362,-3.362,4803,4.803,2145,2.15,-2658,-2.67,-100,-100,
Feb,5907,5.907,2820,2.82,-3087,-3.087,4601,4.6,2068,2.07,-2533,-2.53,-100,-100,
Mar,6407,6.407,2777,2.777,-3630,-3.63,5631,5.63,2364,2.36,-3267,-3.27,-100,-100,
Apr,6679,6.679,2897,2.897,-3782,-3.782,5242,5.24,2218,2.22,-3024,-3.02,-100,-100,
May,,,,,,,5297,5.3,1671,1.67,-3626,-3.63,-100,-100,
Jun,,,,,,,6352,6.35,2728,2.73,-3624,-3.62,-100,-100,
